id_metier,verbatim
OP063,"Je conçois et valide des architecures qui permettent de répondre durablement aux exigences des métiers tout en respectant le SDSI et l'urbanisation du SI, en corrélation avec l'urbaniste des SIs"
OP063,"Je configure l'automatisation des déploiements DevOps."
OP063,"Je conçois des architectures logicielles basées sur Java et Angular."
OP063,"Je définis les standards de programmation et les frameworks à utiliser."
OP063,"Je travaille sur le design de micro-services complexes."
OP068,"Je développe des backends en Java sur les frameworks Spring-Boot et Quarkus à l'aide de maven"
OP068,"Je développe des front-ends Angular"
OP068,"Je partcipe aux SCRUMs avec le rôle développeur lorsque en phase projet"
OP068,"J'assure le RUN des applications que j'ai développées"
OP068,"Je gère le déploiement de conteneurs avec Podman et Docker."
OP068,"Je mets en place des pipelines de CI/CD pour automatiser les mises à jour."
OP068,"Je supervise le cycle de vie des applications en production."
OP065,"Je gère l'infrastructure des serveurs et la virtualisation."
OP065,"Je m'occupe de la sécurité et de la performance des systèmes d'exploitation."
